# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
闇に乗じて出撃する	They ride out under the dark
大将軍ツォトンの構想	Great General Zedong's design
市民に試験を受けさせる魔軍	The enemy is testing the citizens
本隊らしきものはなかなか見つからない	No sign of the main force
もうすぐ光蝕がピーク	The Koushoku nears its peak
一時撤退する？	Pull back for now?
ラグナロックアークに戻る	Back to Ragnarok Arc
ツォトン探索を続行する	Keep hunting for Zedong
完全な暗闇になった	Full darkness falls
魔物隊長に遭遇	They meet a Monster Captain
魔物隊長を撃破	The Monster Captain is beaten
空が明るんできた	The sky begins to lighten
撤退するぞ	Time to pull out
ラグナロックアークに帰還	Back at Ragnarok Arc
奇襲作戦は失敗に終わった	The surprise raid came to nothing
急報	Urgent word
ハニーキングが魔軍側に付いた	The Hanny King sides with the enemy
夜、ウルザと会話	A talk with Urza that night
ツォトンの居場所を知るため	To find where Zedong is
ウルザが潜入捜査することを決める	Urza decides to go in undercover
翌日、ウルザが出ていった	Next day, Urza is gone
ランスも魔軍狩りに出る	Rance goes hunting the enemy too
※処理　ウルザ使用不可	※Handling: Urza unavailable
戦場に到着	They reach the battlefield
雷、炎、氷、毛利軍が戦っている	Thunder, Flame, Ice and Mouri fight
行くぞ	Let's go
ハニー軍に遭遇	They meet the Hanny army
魔物将軍を発見	A Monster General is spotted
ハニーの将軍と遭遇	They meet a Hanny general
なかなか強そう	who looks quite strong
飽きた	Bored of this
別の場所に行こう	Let's go somewhere else
ビーハンデルの町に入る	They enter the town of Beehandel
優秀でない人間が集められた町	A town for the less able
情報収集	Asking around
ルールーハンデルには	Ruuruhandel is where
頭のいい人材が集められているらしい	the clever ones are gathered
ハニーキングとツォトン	The Hanny King and Zedong
魔軍を撃破	The Monster Army is beaten
ルールーハンデルに入る	They enter Ruuruhandel
ロッキーの先輩に会う	They meet Rocky's senior
志の高い人たちが集まっている	High-minded people gather here
ツォトンの行方は分からない	Zedong is still nowhere
もうすこし付近をうろつく	They wander about a while longer
その頃、戦場	Meanwhile, at the battlefield
ハニーキングにウルザからの手紙が	A letter from Urza to the Hanny King
探索中	Still searching
さっきの町から煙が……	Smoke over the town they left...
引き返す	They turn back
ルールーハンデルの住民が処刑されている	Ruuruhandel's people are being killed
優秀な人間を集めて殺すのがツォトンの計画	Gather the able and kill them
許さん、死ね	Unforgivable. Die
ロッキーの怒り	Rocky's fury
ウルザからの入電	Word comes in from Urza
ツォトンの居場所が判明	Zedong's location is known
目的地に到着	They reach the place
なぜかハニーが魔軍と戦っている	Somehow the Hannys fight the enemy
ハニーキングの怒り	The Hanny King's fury
グロはＮＧ	Gore is not on
戦場を突き進む	They push across the field
ハニーは味方についた	The Hannys are on their side
ハニー部隊と遭遇	They meet a Hanny unit
なんだかはしゃいでいる	who seem to be enjoying themselves
さらにハニー部隊と遭遇	Another Hanny unit
……遊んでるのかあいつら	..are they just playing?
ゼス軍が戦場に到着した	The Zeth army reaches the field
マジック、千鶴子に絡むハニーたち	Hannys pester Magic and Chizuko
劣勢の報告を受けるツォトン	Zedong hears he is losing
撤退を決断する	and decides to withdraw
捕らえられたウルザは撤退を阻止するため	To stop him, the captive Urza
ツォトンを挑発し怒りを買う	goads him into a rage
ランス、司令部に突入	Rance bursts into the HQ
ツォトン発見	Zedong is found
ツォトンに勝利	Zedong is beaten
ゼス軍が残党を蹴散らす	The Zeth army scatters the rest
残る魔軍の殲滅	The last of the enemy wiped out
将軍達の奮闘、ハニーキングの協力	The generals fight, the Hannys help
国民を引っ張るマジック	Magic leads her people
ゼスが平和になった	Zeth is at peace
ＪＡＰＡＮも危険になってきた	JAPAN is growing dangerous too
美樹も魔王覚醒が近い	and Miki's waking is close
巨大戦艦遺跡の装置を思い出す	The battleship ruins had a device
美樹と健太郎をコールドスリープ	Miki and Kentarou go into cold sleep
これからの事	What comes next
コールドスリープは不安定	The cold sleep is not stable
ＪＡＰＡＮは征服された	JAPAN has been conquered
ヘルマンの戦況	How the war in Helman stands
バボラ、ケッセルリンクの脅威	Babolat and Kesselring are the threat
ヘルマンの街道	The Helman road
ラングバウを目指すランス	Rance makes for Rangbau
マルグリッド遺跡の近くに来た	Near the Marguerite ruins
寄っていく？	Stop in?
マルグリッド遺跡に到着	They reach the Marguerite ruins
早速ゴーだ	Straight in
ゴールに到着	They reach the goal
メリムと再会	Merim again
迷宮を出る	and out of the maze
そろそろヘルマンに向かうか	Time to head for Helman
都市に到着	They reach the city
ルーベランに遭遇	They meet Ruberan
無理やり部下にする	and press him into service
魔軍の蹂躙によって	The Monster Army trampled it
都市はすでに廃墟となっていた	and the city was already ruins
村に入る	Into the village
アミトスと遭遇	They meet Amitos
アミトスの案内	Amitos shows them
そこには巨大な足跡が……	an enormous footprint...
ラング・バウに到着	They reach Rangbau
シーラ、ペルエレ、クリームと会う	Sheila, Peruele and Cream are there
会議室	The council room
現在の状況、魔人バボラの説明	The situation, and Fiend Babolat
窓からもバボラの姿が見える	Babolat is visible from the window
バボラ討伐に出発	Off to bring Babolat down
道中	On the way
パットンの事	About Patton
上杉軍の様子	How the Uesugi army fares
バボラの情報	What is known of Babolat
フレイア登場	Freya appears
フレイアに捕獲されるかなみ	and catches Kanami
魔物大将軍ルメイ	Monster Great General LeMay
バボラの足元に到着	They reach Babolat's feet
バボラは気づいていない	Babolat has not noticed
今がチャンスだ	Now is the moment
びくともしないバボラ	Babolat does not even flinch
今更痛みに気づいて逃げていく	then feels it at last and runs
追いかけようとするが	They try to give chase
魔軍に見つかってしまった	but the Monster Army spots them
ラング・バウに帰還	Back at Rangbau
作戦会議	A council of war
バボラはでかいだけで強くない	Babolat is only big, not strong
こちらも巨大化すれば勝てる	Grow just as big and he falls
巨大化薬の材料を求めてツングース高地へ	To the Tungus Plateau for the drug
その頃、バボラ部隊	Meanwhile, Babolat's unit
バボラのお世話をする親衛隊	His guard waits on him
その頃、ラング・バウ	Meanwhile, in Rangbau
シーラとペルエレ	Sheila and Peruele
クリームの感傷	Cream, feeling it
ツングース高地に到着	They reach the Tungus Plateau
激しい雹が危険	The hail here is dangerous
奥に進む	On they go
雹が降ってきた	The hail comes down
ランス達はダメージを受けた	and they take a beating
バボラの食事を用意させられる捕虜達	Prisoners made to cook for Babolat
アナセルの姿も	Anasel is among them
その頃、ヘルマン軍	Meanwhile, the Helman army
ヒューバート、ロレックス、透琳の会話	Hubert, Rolex and Tourin talk
ツングース高地の奥地	Deep in the Tungus Plateau
巨大化薬の材料を発見	The drug's ingredient is found
薬はすぐに完成、かなみに飲ませてみる	Made at once, and fed to Kanami
……カッコ悪いから巨大化作戦は中止	..it looks bad, so the plan is off
策はある	There is another way
バボラ目指して再出撃	Out again after Babolat
かなみの失敗	Kanami slips up
魔軍のど真ん中に紛れ込んでしまった	They end up amid the Monster Army
魔軍に包囲されるランス	Rance is surrounded
上杉軍に助けられる	The Uesugi army saves him
謙信に同行を求めるが断られる	Kenshin is asked along and refuses
討つべき敵がいる	She has an enemy to kill
――ルメイが創設した特別焼却師団	LeMay's Special Incineration Corps
バボラは後回しにして謙信を手伝う	Babolat waits; they help Kenshin
謙信と別れた	They part from Kenshin
愛との会話	A talk with Ai
謙信が無茶をしないか心配	She fears Kenshin will overreach
村が燃えている	A village is burning
特別焼却師団の仕業	The Incineration Corps did it
謙信が飛び出していってしまった	Kenshin charges off
乱戦	A melee
敵の数が多い	The enemy are many
撤退を勧めるが謙信は止まらない	She will not be told to pull back
謙信の体力が尽きる	Kenshin's strength runs out
倒れた謙信を助け出して、撤退	They pull her out and withdraw
上杉軍陣地	The Uesugi camp
謙信は目覚めてすぐ飛び出そうとする	Kenshin wakes and makes to run out
気絶するまで謙信を抱く	so he beds her until she faints
特別焼却師団は山の上	The Corps is up the mountain
裏から回り込んで叩く	They come round the back
焼却師団司令部に突入	They storm the Corps HQ
俺の女を苛める奴は殺す	Hurt my woman and you die
魔物将軍に勝利	The Monster General falls
焼却師団は散会していった	The Corps scatters
上杉軍陣地に帰還	Back at the Uesugi camp
愛の提案、謙信を魔人討伐隊に預ける	Ai's idea: Kenshin joins the squad
上杉謙信が仲間に加わった	Uesugi Kenshin joins the party
バボラを目指す	On to Babolat
バボラ部隊から逃げてきた村人と遭遇	Villagers fled from Babolat's unit
人間を奴隷として使役しているらしい	Humans are worked as slaves there
可愛い女の子もいるとか	and there are pretty girls too
魔軍の食料運搬部隊と遭遇	They meet a food convoy
多数の奴隷を引き連れている	with slaves in tow by the dozen
可愛い女の子を助けるため突撃	They charge, to save the pretty ones
魔軍を倒した	The enemy is put down
お礼に美女を寄こせ	A beauty as thanks, then
アナセルが差し出される	Anasel is offered up
逃げるアナセル	Anasel runs
魔軍に捕まっていたアナセルを助ける	They free Anasel from the enemy
当然セックス	Sex, of course
バボラ部隊陣地に潜入	They slip into Babolat's camp
巨大な食事の横に隠れる	and hide beside the giant meal
※謙信orアナセルルート　内容若干変化	※Kenshin or Anasel route - changes
バボラ帰還	Babolat comes back
このまま食事に紛れて、	Hidden in the food, they wait
食べようとしたところを攻撃する作戦	and strike as he goes to eat
ランス達が隠れている皿を	Babolat picks up the very dish
バボラが手に取った	they are hiding in
持ち上がる皿	The dish rises
バボラの顔が迫る	Babolat's face looms
バボラは失神し、	Babolat faints
魔軍を押しつぶしながら倒れた	and crushes his own army falling
気絶したバボラに止めをさすのが大変だった	Finishing him off was hard work
血まみれの魔人討伐隊一行	The squad, drenched in blood
バボラの死が伝わる	Word of Babolat's death spreads
軍は動揺しているがルメイは落ち着いた様子	The army shakes; LeMay stays calm
足を叩き斬った	They hack the leg through
倒れたバボラを仕留める	and finish Babolat where he falls
魔人は倒したが、時間には余裕がある	The Fiend is dead, and time remains
さてどうするか	So what now
シーラと遊んでからランス城に帰った	Some fun with Sheila, then home
続けて魔人討伐	Straight on to the next Fiend
ケッセルリンクの住処を目指し	Making for Kesselring's home
トランシルバニアの森へ踏み込む	into the Transylvania forest
トランシルバニアの森	The Transylvania forest
ケッセルリンクは昼に弱い	Kesselring is weak by day
このまま寝込みを襲う	so they hit him asleep
ケッセルリンクの屋敷に到着	They reach Kesselring's mansion
すっかり日が暮れてしまった…	but the sun has fully set...
ケッセルリンクに見つかってしまう	and Kesselring finds them
ケッセルリンクに勝利	Kesselring is beaten
魔血魂を人質に取って	His Magic Blood Soul held hostage
ケッセルリンクのメイドをハーレムに入れる	his maids go into the harem
バボラ敗北の対応に追われる魔軍	The enemy scrambles after Babolat
続けてもたらされるケッセルリンクの敗報	then word of Kesselring's defeat
魔軍の大混乱とルメイの困惑	Chaos in the ranks; LeMay is at a loss
その頃、トランシルバニアの森	Meanwhile, the Transylvania forest
ケッセルリンクとメイドたち	Kesselring and his maids
ラング・バウへの移動中	On the way to Rangbau
ケッセルリンクの情報	What is known of Kesselring
夜のケッセルリンクは桁違いの強さ	By night he is on another level
上杉軍の事が気になる謙信	Kenshin worries about her army
上杉陣地に寄り道	A detour to the Uesugi camp
村に立ち寄って休憩	A rest stop at a village
モンスターが襲来してきた	Monsters attack
倒してやったのでお礼を寄こせ	Beaten - now hand over the thanks
――アナセル三度	Anasel, a third time
警備隊がたむろしている	A guard patrol is loitering here
この先でモンスターが道を塞いでいるらしい	A monster blocks the road ahead
噂のモンスターに遭遇	They meet the monster in question
邪魔する奴は殺す	Anything in the way dies
まずは寝る	First, some sleep
翌日、ヘルマン司令部	Next day, Helman command
ケッセルリンクの脅威	The Kesselring threat
ロレックスがチュパ病に罹ってしまった	Rolex has caught Chupa Disease
※処理　ロレックス使用不可	※Handling: Rolex unavailable
重苦しい雰囲気	The mood is grim
がはははは、俺様にどーんと任せておけ！	Gahahaha - leave it all to me!
そこに、魔物襲来の報が	then word of a monster attack
戦場	The battlefield
ケッセルリンクは居ないようだ	Kesselring does not seem to be here
じゃあ無視	Then ignore it
その頃、とあるヘルマン砦	Meanwhile, a Helman fort
ケッセルリンクの使徒メイドの暗躍	His apostle maids are at work
ランスの立小便	Rance takes a leak
魔物将軍も立小便	So does the Monster General
中身の女の子は……はずれだった	The girl inside... was a dud
ケッセルリンクは見当たらなかった	No sign of Kesselring
シィルとシーラ、二人の奴隷にお世話させる	Sill and Sheila wait on him as slaves
ダブル奴隷とお風呂でＨ	A bath and sex with both slaves
ケッセルリンクの居場所が判明	Kesselring's home is located
トランシルバニアの森に居城がある	His castle is in Transylvania forest
今すぐトランシルバニアの森にＧＯ	Straight off to Transylvania forest
少し寝てから出発する	Some sleep first, then off
アミトスが同行	Amitos comes along
トランシルバニアの森を進む	On through Transylvania forest
アミトスの怪談	Amitos tells a ghost story
その頃、ケッセルリンクの城	Meanwhile, Kesselring's castle
使徒のメイドたち	The apostle maids
侵入者に気づく	notice the intruders
アミトス、サテラと会話	A talk with Amitos and Satella
なぜ夜に出発した	Why set out at night?
ちゃんと理由がある、任せておけ	There's a reason - leave it to me
メイドたちの身の上話	The maids tell their stories
皆、悲惨な過去があるが	All of them had wretched pasts
ケッセルリンクに救われた	and Kesselring saved them
二人のメイド	Two maids
パレロアとバーバラが襲撃してきた	Paleloa and Barbara attack
メイドを撃退	The maids are driven off
逃げられた	and get away
ケッセルリンクの城に到着	They reach Kesselring's castle
ちょうど夜が明けてきた	just as dawn is breaking
これが夜に出発した理由だ、がははははは	That was the reason - gahahaha
ケッセルリンクの城に侵入	Into Kesselring's castle
メイド長エルシールの挨拶	Head maid Elsill greets them
まさか城内にモンスターがいるとは…	Monsters inside the castle, no less
おそらく、る壷の仕業	The cursed urn, most likely
気が付くと、	Before they know it
同じところをぐるぐると回っている	they are going round in circles
パステルの分析	Pastel works it out
呪いの結界が仕掛けられているらしい	A cursed barrier has been laid
結界を解かなくては先に進めない	Break it or go no further
石像が動き出した	A stone statue starts moving
結界の一部を解除した	Part of the barrier is undone
おかーさんすごーい！	Mummy, you're amazing!
パレロア、バーバラが	Paleloa and Barbara
再び襲い掛かってきた	come at them again
エルシールの妨害により逃げられてしまう	Elsill blocks the way; they escape
カラーとは緩やかな繋がりがあった	There was a loose Kalar connection
メイドたちの襲撃	The maids attack
シャロン、加奈代、エルシールが	Sharon, Kanayo and Elsill
襲い掛かってきた	come at them
またも取り逃がした	and get away again
残るは一つ	One left
ふたたび石像が動きだす	The statue moves again
リリムとアルカリアが襲い掛かってきた	Lilim and Alcarria attack
ついにメイドをゲット	A maid at last
美味しくいただく	and she is enjoyed
日が暮れてきた…	The sun is going down...
早くケッセルリンクを見つけなければ…	Kesselring must be found fast...
結界を完全に解除した	The barrier is fully undone
ケッセルリンクの棺を発見	Kesselring's coffin is found
石像が襲い掛かってきた	The statue comes at them
棺を開けようとするが	They go to open the coffin
ファーレンがケッセルリンクをかばう	but Varen shields Kesselring
ファーレンはランスに抱かれる	Varen is bedded by Rance
時間切れ	Out of time
ケッセルリンクは目覚めてしまう	Kesselring wakes
怒りのケッセルリンク	and he is furious
アミトスが負傷する	Amitos is wounded
急いで逃げる	They run for it
ラング・バウ	Rangbau
奇襲に失敗してしまった	The raid failed
まともにやっても勝てそうにない…	A straight fight looks hopeless...
ランスの失敗を責めるカオス	Chaos blames Rance for it
打開策が無いまま日が過ぎる	Days pass with no way forward
アミトスがチュパ病に感染してしまった	Amitos catches Chupa Disease
※処理　アミトス使用不可	※Handling: Amitos unavailable
苛つくランス	Rance is on edge
ケッセルリンクがラング・バウに侵入する	Kesselring gets into Rangbau
シィルとシーラが掠われてしまった	and carries off Sill and Sheila
※処理　シィル、シーラ使用不可	※Handling: Sill, Sheila unusable
二人を取り返すため	To get the two of them back
無計画に突入するランス	Rance charges in with no plan
森を進む	On through the forest
離れたところからランスを睨むメイドたち	The maids glare from a distance
保護されたシィルとシーラ	Sill and Sheila are looked after
森の中	In the forest
ケッセルリンクが待ち構えていた	Kesselring was waiting
わざと見逃すケッセルリンク	He lets them go on purpose
怒るランスをかなみが必死に止める	Kanami holds the raging Rance back
撤退する	They withdraw
荒れるランス	Rance is out of control
周囲に当たり散らす	taking it out on everyone
そこにリセットビンタ炸裂	then Reset's slap lands
リセットの力でランスは冷静さを取り戻した	and Rance cools down again
頭は冷えたが、打開策は無い……	A clear head, but still no way...
悩むランスの元にシィルとシーラが	Then Sill and Sheila come
逃げ帰ってきた	running back to him
がははははは！反撃開始だ！	Gahahaha! Now we hit back!
※処理　シィル、シーラ使用可能	※Handling: Sill, Sheila usable
ケッセルリンクの弱点がわかった	Kesselring's weakness is known
そのために必要な物がある	One thing is needed for it
それは…	And that is...
とにかく大量に女を用意しろ	Get women, and plenty of them
できれば信頼が置ける女が良い	ones that can be trusted, ideally
十人でも百人でも千人でも	ten, a hundred, a thousand
不幸な過去を持つ女の子たちを	Girls with wretched pasts are sent
トランシルバニアの森に送り込む	into the Transylvania forest
フレイアとヒューバート	Freya and Hubert
ランスの命令に従い	follow Rance's orders
不幸な女の子を送り続ける	and keep the girls coming
数日前	A few days earlier
シィルとシーラにケッセルリンクの事を聞く	Sill and Sheila tell of Kesselring
ケッセルリンクはとても紳士的	Kesselring is a perfect gentleman
使徒は皆不幸な生い立ちを持っていた	His apostles all had hard lives
ふっふっふ、予想通り	Heh heh - just as expected
次々と不幸な女の子がやって来る	Wretched girls keep arriving
対応に追われるメイドたち	The maids can barely keep up
それでも女の子を見捨てることはしない	but they turn none of them away
仕込みは終わった	The groundwork is done
ケッセルリンクの城はスパイだらけだ	His castle is full of spies now
出撃するぞ！	Move out!
シィルとランス	Sill and Rance
シーラとランス	Sheila and Rance
夜が明ける	Dawn breaks
屋敷に到着	They reach the mansion
メイドたちはスパイによって無力化している	The spies have the maids neutralised
目指すはケッセルリンクの棺だ！	Straight to Kesselring's coffin!
城内を進む	On through the castle
闇鷺の手引き	Dark Heron shows the way
棺の間に到着	They reach the coffin room
ケッセルリンクは起きていた	Kesselring was awake
力は弱まっている、これなら勝てる…か？	Weakened, though - winnable? Maybe
メイドたちと共にケッセルリンクは散った	Kesselring falls with his maids
復活したロレックスとアミトス	Rolex and Amitos are back up
１軍と５軍の怒涛の反撃により	The 1st and 5th armies surge back
ヘルマンは大きく領土を取り戻した	and Helman takes back much land
※処理　アミトス、ロレックス使用可能	※Handling: Amitos, Rolex usable
不幸な女の子をスパイとして	A wretched girl as a spy
ケッセルリンクのもとに送り込む作戦	sent in to Kesselring - the plan
スパイはペルエレに決定	Peruele is picked as the spy
嫌がるペルエレ	Peruele hates the idea
泣いて逃げ惑うペルエレ	Peruele runs about in tears
メイドに保護される	and the maids take her in
ケッセルリンクの城	Kesselring's castle
快適な日々を過ごすペルエレ	Peruele's days there are pleasant
ペルエレ、使徒になる	Peruele becomes an apostle
ケッセルリンク裏切り作戦決行の日	The day of the betrayal plan
ペルエレの決断は…	And Peruele's choice is...
ケッセルリンクの城に侵入したランス	Rance gets into the castle
しかしペルエレは……	but Peruele...
メイド達はペルエレによって眠らされている	Peruele has put the maids to sleep
棺で眠るケッセルリンクの元へ	On to the sleeping Kesselring
ケッセルリンクは目覚めていた	Kesselring was awake after all
しかし、力は衰えている	but his strength is down
ペルエレの交渉によって	Peruele negotiates
使徒のメイドたちが配下に加わった	and the apostle maids come over
ご機嫌なサテラ	Satella is delighted
昼に戦えと言った自分の忠告を	Her advice to fight by day
ランスが聞いてくれたのが嬉しい	was actually taken, and she is glad
城に突入、シィルとシーラを確保する	They storm in and get the two back
ヘルマンの戦況説明	The Helman front explained
※ヘルマンの戦況で内容若干変化	※Varies with the Helman situation
防空の要となるシーラ	Sheila is the air defence
ヘルマンに来た理由	Why he came to Helman
ルメイを殺したらやらせろ、と	Kill LeMay and she puts out
クリームと無理やり約束したから	a promise squeezed out of Cream
ルメイはラボリに居る可能性が高い	LeMay is most likely at Labori
ラボリはかなり遠い	Labori is a long way off
めんどくさいので別の適当な魔物将軍を	Too much bother - grab any general
倒してルメイに変装させよう	and dress him up as LeMay
近場のテニアンを目指す	Tinian is nearer; they go there
その頃、魔物軍	Meanwhile, the monster army
ルメイはラボリではなくテニアンに居た	LeMay was at Tinian, not Labori
人類の予想の裏をかきほくそ笑むルメイ達	He smirks at having wrong-footed them
その頃、テニアン	Meanwhile, Tinian
飛行魔物兵エノラゲイが	The flying monster Enola Gay
人破壊爆弾を持って	takes a human destruction bomb
ローレングラードに発進した	and flies for Laurengrad
ロレックスの案内	Rolex leads the way
焼け野原となった町に通りかかる	They pass a town burned flat
怒りに燃えるロレックス	Rolex burns with anger
飛行魔物兵の部隊が飛んでいく	A flight of monster fliers passes
村を襲うつもりに違いない	bound for some village, surely
引き返して村を助けるか	Turn back and save it
先を急ぐか	or press on?
ふたたび飛行魔物兵部隊を発見	Another flight of monster fliers
引き返して叩くか	Turn back and hit them
先に進むか	or go on?
単体で飛ぶ飛行魔物兵を発見	A single flier is spotted
ただの連絡要員だと思うが……	Just a runner, probably...
引き返すか	Turn back?
エノラゲイが人破壊爆弾を投下…	Enola Gay drops the bomb...
ローレングラードの住民は消滅した	Laurengrad's people are gone
テニアンに到着	They reach Tinian
戸惑うロレックス	Rolex is baffled
ここでランスのネタばらし	Rance lets them in on it
手頃な魔物将軍の首を狩るのだ	Take any handy general's head
テニアンに突撃	They charge into Tinian
ロレックス怒る	Rolex is furious
敵の本当の攻撃拠点はここテニアンだった	Tinian was the real enemy base
敵を殲滅するロレックスと５軍	Rolex and the 5th wipe them out
魔軍司令部に突入	They storm the enemy HQ
本当にルメイが居た	and LeMay really is there
ルメイに勝利	LeMay is beaten
全ては俺様の作戦通りだったのだ	All exactly as I planned it
嘘つけ！	Liar!
軍の働きによりヘルマンは完全に解放された	The army frees Helman completely
感極まるクリーム……	Cream is overcome...
それではクリームちゃん	Now then, Cream dear
約束を果たしてもらおうか	time to keep your promise
ホーネットを抱きたい	He wants Hornet in bed
ランス城　図書室	Rance Castle library
ハウゼルから情報を聞く	Hawzel is asked what she knows
※条件　ハウゼルが居る	※Condition: Hawzel is present
ランス城　客室	Rance Castle, a guest room
シルキィから情報を聞く	Silky is asked what she knows
※条件　シルキィが居る	※Condition: Silky is present
ホーネット奪回作戦	The plan to take Hornet back
魔物隊長ラカンが囮を志願	Monster Captain Rakan volunteers
ランスは作戦の中止を決定	Rance calls the plan off
ラカン率いる部隊は配下に	Rakan's unit falls in under him
ラカンの囮を承認	Rakan's decoy run is approved
ラカンと魔人の会話	Rakan and the Fiend talk
数日後	Some days later
ラカン達が囮突撃で全滅	Rakan's decoy charge kills them all
番裏の砦	Fort Banura
ランス達が魔物界に入る	Rance's party enters the demon world
魔物界を進む	On through the demon world
サテラとシルキィの会話	Satella and Silky talk
サテラとハウゼルの会話	Satella and Hawzel talk
サテラによるホーネット説明	Satella explains Hornet
魔界アロエの群生と遭遇	A cluster of demonic aloe
ブルトンツリーに到着	They reach Burton Tree
魔王城に侵入する	and break into the King's castle
魔王城内	Inside the Demon King's castle
魔物兵が襲ってきた	Monster soldiers attack
ホーネットが居る事は分かるが	Hornet is here somewhere
急がねば移送されてしまう	but she will be moved if they dawdle
陵辱している魔物兵	Monster soldiers at their violation
酔い潰れている魔物兵	Monster soldiers drunk senseless
ラカンの首で遊んでいる魔物隊長	A captain playing with Rakan's head
ケイブワンから鍵を奪う	The key is taken from Kaybwan
魔王城	The Demon King's castle
ホーネットを助ける	They free Hornet
が行動を共に出来そうにない	but she cannot travel with them
※要シルキィ　内容若干変化	※Needs Silky - slight changes
※要ハウゼル　内容若干変化	※Needs Hawzel - slight changes
サテラを人質作戦をするが…	Satella as a hostage, then...
効果無し	No effect
肉体見せびらかすが…	He shows off his body...
美樹をネタに出す事で	Bringing up Miki does it
なんとか連れて帰る	and she comes along after all
ホーネットと美樹	Hornet and Miki
その頃、ホーネット	Meanwhile, Hornet
別の場所に移送された	has been moved elsewhere
作戦は失敗した	The plan failed
エターナルヒーロー達の会話	The Eternal Heroes talk
全ての知識を選んだ男ホラガ	Horaga, who chose all knowledge
ヘルマン北部、シベリア	Northern Helman, Siberia
ホラガの塔を目指して進む	On towards Horaga's tower
シベリア横断中	Crossing Siberia
アーシー、ルーシーが使徒	Arcy and Lucy are apostles
マーシーが現れる	Mercy appears
ホラガの情報	What is known of Horaga
氷雪地帯案内人の指示で進む	A snow-country guide leads them
ホラガの塔に入る	They enter Horaga's tower
ホラガの過去話	Horaga's past
ミラクルとホラガ	Miracle and Horaga
ホラガの塔、その夜	Horaga's tower, that night
ホラガ、アム、クルックーの会話	Horaga, Am and Crook talk
ホラガの塔、翌朝	Horaga's tower, next morning
ひとつだけ質問に答えてくれる	He will answer one question
ホラガから	From Horaga,
ケイブリスの弱点を教えて貰う	Kayblis's weakness
空飛ぶランス城の動かし方を聞く	How to move the flying castle
魔王を戻す条件を聞くが	What would undo a Demon King
どれも達成不可能な物だった	none of it can be done
ランスは黄金像を盗んでいた	Rance had stolen the golden statue
ヘルマン、巨大戦艦遺跡	Helman, the giant battleship ruins
ランス達は聖女の子モンスターを	Rance and the rest were searching
探して探索をしていた	for a Holy Gal Monster
ロッキー、サテラ、ホルス達合流	Rocky, Satella and Horus join up
※推奨　部隊編成	※Suggested: sort your party
全魔物大図鑑を読みながら休憩	A rest with the Great Monster Codex
ホルス達の会話	Horus and the others talk
魔人サテラと聖女ベゼルアイ	Fiend Satella and Bezeleye
食料ルーム	The food room
罠にかかっていたかなみが合流	Kanami, caught in a trap, joins
ホルス達の過去話	Horus tells of their past
遙か大昔にやってきた宇宙人	Aliens who came long, long ago
コールドスリープ室の前	Outside the cold sleep room
ホルス達は止めようとするが	Horus tries to stop them
ランスはごり押しで通る	Rance barges through anyway
コールドスリープ室	The cold sleep room
聖女の子モンスターセラクロラス発見	Holy Gal Monster Serachrolas found
ランスの対象外だった	Not to Rance's taste
※エロＣＧ？	※Erotic CG?
コールドスリープ装置をいじっていると	Fiddling with the cold sleep device
ランス、シィル、サテラ、かなみ	Rance, Sill, Satella and Kanami
が中に閉じ込められ装置が起動してしまう	get shut in, and it switches on
５ヶ月後	Five months later
ランス達の処遇を考えるホルス達	Horus wonders what to do with them
ホルス達は決めた	Horus made a decision
ランス達をこのままにしておくと	leave them as they are
３年後	Three years later
３年後、ランス達は目覚めた	Three years on, they wake
しかし、時すでに遅し	but far too late
人類は魔軍に制圧されていた	The Monster Army had taken over
そして彼らも忘れていく…	and even they forget them...
５万年後、ランス達は目覚めた	Fifty thousand years on, they wake
イカ、イカ、イカ、イカ	Squid, squid, squid, squid
ランス達は目覚めた	They wake up
ランスはカプセル開けを再開	Rance goes back to opening pods
ジャハルッカスを起こしてしまう	and wakes Jhahlckas
戦闘になる	A fight breaks out
ジャハルッカスを倒した	Jhahlckas is beaten
残りのカプセルを開けて	The rest of the pods are opened
女王テラを救い出す	and Queen Terra is freed
ランスはホルス達の救世主となった	Rance is the Horus people's saviour
巨大戦艦遺跡を出る	Out of the battleship ruins
法王クルックーが出迎えに来ていた	Pope Crook is there to meet them
